group,window_h,origins,finite_precipitation,coverage_min,coverage_max,coverage_mean
Baixo Antas,1,744,593,0.29479768786127164,0.5021676300578035,0.48215395611908746
Baixo Antas,3,744,729,0.388728323699422,0.6914739884393063,0.6662238175150724
Baixo Antas,6,744,741,0.4685693641618497,0.738800578034682,0.7122412828640685
Baixo Antas,12,744,744,0.549373795761079,0.7624638728323699,0.7352500155385668
Baixo Antas,24,744,744,0.6407454238921002,0.7742955202312138,0.7467281605444714
Baixo Antas,48,744,744,0.6646044075144509,0.7802113439306358,0.7524410117160792
Carreiro,1,744,742,0.2531201248049922,0.8303432137285491,0.7716636891282102
Carreiro,3,744,742,0.4327873114924597,0.8373634945397816,0.7785896113263886
Carreiro,6,744,744,0.6025091003640146,0.8391185647425898,0.7803210918759332
Carreiro,12,744,744,0.6897100884035363,0.8350559022360895,0.7812088491604182
Carreiro,24,744,744,0.7352606604264171,0.828084373374935,0.7816600668058982
Carreiro,48,744,744,0.7545908086323454,0.8230710478419136,0.7819135900516666
Prata-Turvo,1,744,0,0.23027718550106607,0.4989339019189765,0.47242044386363125
Prata-Turvo,3,744,0,0.23027718550106607,0.4989339019189765,0.4724204438636312
Prata-Turvo,6,744,0,0.23027718550106607,0.4989339019189765,0.4724204438636312
Prata-Turvo,12,744,0,0.23027718550106607,0.4989339019189765,0.4726912671664718
Prata-Turvo,24,744,0,0.23027718550106607,0.4989339019189765,0.4729169532521723
Prata-Turvo,48,744,0,0.2790955934612651,0.4989339019189765,0.4730335577297842
Alto Antas,1,744,706,0.4859093550261476,0.6590644973852412,0.6487944618345174
Alto Antas,3,744,743,0.4999515785396088,0.6721382916908775,0.6614465208399717
Alto Antas,6,744,744,0.5041884563238428,0.6754067402672865,0.6646095355913353
Alto Antas,12,744,744,0.5481430369939957,0.677040964555491,0.6661910429670173
Alto Antas,24,744,744,0.5927331493317839,0.6778580766995933,0.6669817966548579
Alto Antas,48,744,744,0.6198098247143135,0.6782666327716445,0.6673771734987786
Tainhas,1,744,741,0.3907103825136612,1.0,0.9852848287208413
Tainhas,3,744,744,0.7677595628415301,1.0,0.9852848287208416
Tainhas,6,744,744,0.7677595628415301,1.0,0.9852848287208416
Tainhas,12,744,744,0.8258196721311475,1.0,0.9852848287208416
Tainhas,24,744,744,0.8838797814207651,1.0,0.9852848287208416
Tainhas,48,744,744,0.9098929872495447,1.0,0.9852848287208416
