horizon_h,origins,scheduled_rows,boundary_excluded,finite_base_in_schedule,observed_targets,valid_pairs,missing_truth_in_schedule,missing_base_observed_target,high_observed_targets,high_valid_pairs
1,744,743,1,743,743,743,0,0,11,11
2,744,742,2,742,742,742,0,0,11,11
3,744,741,3,741,741,741,0,0,11,11
4,744,740,4,740,740,740,0,0,11,11
5,744,739,5,739,739,739,0,0,11,11
6,744,738,6,738,738,738,0,0,11,11
7,744,737,7,737,737,737,0,0,11,11
8,744,736,8,736,736,736,0,0,11,11
9,744,735,9,735,735,735,0,0,11,11
10,744,734,10,734,734,734,0,0,11,11
11,744,733,11,733,733,733,0,0,11,11
12,744,732,12,732,732,732,0,0,11,11
