source,lead_h,candidate,subset,gain,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
julho,10,ridge_reference,all,1.0,1958,236.38021489261175,-24.084292347128102,367.3417451802262
julho,10,ridge_reference,high_flow,1.0,271,665.3661568404963,-291.90578160156076,1570.6415899377957
julho,10,persistence,all,0.0,1958,365.0554596527068,0.3940500510725226,625.3
julho,10,persistence,high_flow,0.0,271,1297.4169741697417,-175.21771217712177,2820.9999999999995
julho,10,validation_blend,all,0.75,1958,248.6743507622746,-18.153720641776843,387.67338887713606
julho,10,validation_blend,high_flow,0.75,271,758.9588223303731,-263.90578062524025,1810.9811924533467
julho,11,ridge_reference,all,1.0,1957,246.35988560412352,-29.179438075023615,376.723831523761
julho,11,ridge_reference,high_flow,1.0,271,729.8799581223853,-328.6906148763272,1854.1446555071027
julho,11,persistence,all,0.0,1957,383.26522227899846,0.5828206438426171,683.4000000000001
julho,11,persistence,high_flow,0.0,271,1403.5830258302583,-204.71955719557195,3002.0
julho,11,validation_blend,all,0.5,1957,290.27549668864685,-14.60177148829758,456.623222994447
julho,11,validation_blend,high_flow,0.5,271,984.9459729803837,-268.6227369818262,2144.5723277535517
carreiro,0,ridge_reference,all,1.0,1703,5.614341450636123,-2.6636075325171276,7.909062451757187
carreiro,0,ridge_reference,high_flow,1.0,241,22.586819009306918,-19.18658720408506,13.535565607387223
carreiro,0,persistence,all,0.0,1703,5.42331767469172,-2.3928302994715214,8.26199999999996
carreiro,0,persistence,high_flow,0.0,241,26.489917012448135,-16.91265560165975,25.46999999999999
carreiro,0,validation_blend,all,0.75,1703,5.341552395649602,-2.6014572022170483,7.430055144522152
carreiro,0,validation_blend,high_flow,0.75,241,22.546409316129555,-18.618104303478738,15.165115931363992
carreiro,1,ridge_reference,all,1.0,1699,11.73371734507158,-3.115149075880112,21.978258345389875
carreiro,1,ridge_reference,high_flow,1.0,240,34.280133863826634,-26.172544126093726,44.059753727549456
carreiro,1,persistence,all,0.0,1699,10.236303708063566,-2.2803413772807537,22.218
carreiro,1,persistence,high_flow,0.0,240,44.330999999999996,-17.37366666666667,70.83199999999998
carreiro,1,validation_blend,all,0.75,1699,10.70638839750407,-2.9426297195050726,22.175151824714746
carreiro,1,validation_blend,high_flow,0.75,240,33.736861250422926,-23.972824761236957,44.04870586760654
carreiro,2,ridge_reference,all,1.0,1695,17.117267624307022,-3.577431488864975,29.00466609462133
carreiro,2,ridge_reference,high_flow,1.0,239,44.51002919826544,-33.61027802545096,72.7275575695883
carreiro,2,persistence,all,0.0,1695,14.732997050147493,-2.1791445427728613,29.062000000000015
carreiro,2,persistence,high_flow,0.0,239,61.399665271966526,-18.25707112970711,126.12799999999989
carreiro,2,validation_blend,all,0.75,1695,15.500287657570333,-3.2859007088484935,27.67245428852414
carreiro,2,validation_blend,high_flow,0.75,239,43.81367330479488,-29.771976301514997,74.19093265596312
carreiro,3,ridge_reference,all,1.0,1691,22.13911278733309,-4.149263341393121,36.49922953146739
carreiro,3,ridge_reference,high_flow,1.0,238,55.24236174631296,-41.7828121446396,99.8523546302736
carreiro,3,persistence,all,0.0,1691,18.943707865168538,-2.0908042578356003,40.96000000000002
carreiro,3,persistence,high_flow,0.0,238,78.12659663865547,-19.26575630252101,184.644
carreiro,3,validation_blend,all,1.0,1691,22.13911278733309,-4.149263341393121,36.49922953146739
carreiro,3,validation_blend,high_flow,1.0,238,55.24236174631296,-41.7828121446396,99.8523546302736
carreiro,4,ridge_reference,all,1.0,1687,26.673355666407964,-4.955385951228133,44.57591579111195
carreiro,4,ridge_reference,high_flow,1.0,237,65.53207683876958,-50.34835629262721,121.75128356398467
carreiro,4,persistence,all,0.0,1687,22.83689982216953,-2.019875518672199,47.465999999999994
carreiro,4,persistence,high_flow,0.0,237,94.39523206751053,-20.424261603375523,217.95599999999996
carreiro,4,validation_blend,all,1.0,1687,26.673355666407964,-4.955385951228133,44.57591579111195
carreiro,4,validation_blend,high_flow,1.0,237,65.53207683876958,-50.34835629262721,121.75128356398467
carreiro,5,ridge_reference,all,1.0,1684,30.155697277674093,-5.822258205808267,49.789876584781574
carreiro,5,ridge_reference,high_flow,1.0,236,73.25407858649406,-56.608627826077566,141.58506309446096
carreiro,5,persistence,all,0.0,1684,26.696193586698335,-1.7999109263657957,50.41100000000001
carreiro,5,persistence,high_flow,0.0,236,110.5715254237288,-21.7178813559322,257.55500000000006
carreiro,5,validation_blend,all,1.0,1684,30.155697277674093,-5.822258205808267,49.789876584781574
carreiro,5,validation_blend,high_flow,1.0,236,73.25407858649406,-56.608627826077566,141.58506309446096
carreiro,6,ridge_reference,all,1.0,1681,33.16202708365879,-6.901929112707524,54.15873532689293
carreiro,6,ridge_reference,high_flow,1.0,235,81.37698216389536,-63.13338263624834,170.40649233834543
carreiro,6,persistence,all,0.0,1681,30.203813206424748,-1.5891671624033321,53.11000000000001
carreiro,6,persistence,high_flow,0.0,235,126.38446808510638,-23.20591489361702,286.99999999999994
carreiro,6,validation_blend,all,1.0,1681,33.16202708365879,-6.901929112707524,54.15873532689293
carreiro,6,validation_blend,high_flow,1.0,235,81.37698216389536,-63.13338263624834,170.40649233834543
carreiro,7,ridge_reference,all,1.0,1678,37.20209948289159,-8.094570264869471,60.25297960427612
carreiro,7,ridge_reference,high_flow,1.0,234,94.33315875347958,-74.60904735358717,219.1785152154492
carreiro,7,persistence,all,0.0,1678,33.466948748510134,-1.3972228843861738,56.548999999999985
carreiro,7,persistence,high_flow,0.0,234,141.58435897435896,-24.861025641025638,307.861
carreiro,7,validation_blend,all,1.0,1678,37.20209948289159,-8.094570264869471,60.25297960427612
carreiro,7,validation_blend,high_flow,1.0,234,94.33315875347958,-74.60904735358717,219.1785152154492
carreiro,8,ridge_reference,all,1.0,1675,39.93830322278624,-9.374274114211914,65.08318868848315
carreiro,8,ridge_reference,high_flow,1.0,233,103.32601804444727,-82.50639680721626,260.7288518008593
carreiro,8,persistence,all,0.0,1675,36.53452537313433,-1.197522388059702,60.012000000000036
carreiro,8,persistence,high_flow,0.0,233,156.55669527896995,-26.702017167381968,373.7540000000001
carreiro,8,validation_blend,all,1.0,1675,39.93830322278624,-9.374274114211914,65.08318868848315
carreiro,8,validation_blend,high_flow,1.0,233,103.32601804444727,-82.50639680721626,260.7288518008593
carreiro,9,ridge_reference,all,1.0,1673,42.57224159050223,-11.138620817830677,70.00164113804914
carreiro,9,ridge_reference,high_flow,1.0,233,113.64433004824842,-91.79129266873208,320.6392217287802
carreiro,9,persistence,all,0.0,1673,39.82526598924088,-1.3072504482964746,69.59200000000001
carreiro,9,persistence,high_flow,0.0,233,172.7157939914163,-30.355450643776827,431.68399999999997
carreiro,9,validation_blend,all,1.0,1673,42.57224159050223,-11.138620817830677,70.00164113804914
carreiro,9,validation_blend,high_flow,1.0,233,113.64433004824842,-91.79129266873208,320.6392217287802
carreiro,10,ridge_reference,all,1.0,1671,44.48309935504033,-13.026489782968289,73.2068054805487
carreiro,10,ridge_reference,high_flow,1.0,233,122.57160375866985,-99.2756486850579,354.35588940632175
carreiro,10,persistence,all,0.0,1671,42.86320766008378,-1.4247396768402159,76.53999999999999
carreiro,10,persistence,high_flow,0.0,233,187.78317596566524,-33.88918454935622,482.92800000000005
carreiro,10,validation_blend,all,1.0,1671,44.48309935504033,-13.026489782968289,73.2068054805487
carreiro,10,validation_blend,high_flow,1.0,233,122.57160375866985,-99.2756486850579,354.35588940632175
carreiro,11,ridge_reference,all,1.0,1669,46.33849641138404,-14.96018396360806,77.93599849920696
carreiro,11,ridge_reference,high_flow,1.0,233,132.58400425312436,-106.91491877199218,414.7489875729718
carreiro,11,persistence,all,0.0,1669,45.842372678250456,-1.5569322947872977,79.14600000000003
carreiro,11,persistence,high_flow,0.0,233,202.81480686695275,-37.685793991416304,511.16200000000015
carreiro,11,validation_blend,all,1.0,1669,46.33849641138404,-14.96018396360806,77.93599849920696
carreiro,11,validation_blend,high_flow,1.0,233,132.58400425312436,-106.91491877199218,414.7489875729718
