source,lead_h,candidate,subset,gain,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
julho,0,ridge_reference,all,1.0,1968,46.27849378837248,0.31924112300384205,127.88659839479827
julho,0,ridge_reference,high_flow,1.0,271,118.19237747447443,-14.073156646539523,248.89068917657698
julho,0,persistence,all,0.0,1968,51.372789634146336,0.0346697154471535,162.9999999999998
julho,0,persistence,high_flow,0.0,271,138.85977859778598,-4.180811808118085,360.00000000000034
julho,0,validation_blend,all,0.5,1968,45.74269570921258,0.16557914172266572,135.5992830108236
julho,0,validation_blend,high_flow,0.5,271,118.2679674772813,-9.126984227328805,318.4279803893879
julho,1,ridge_reference,all,1.0,1967,82.7616322730008,0.6952702122812783,229.5143935248307
julho,1,ridge_reference,high_flow,1.0,271,206.87023845505792,-32.3224648128019,354.16347045920827
julho,1,persistence,all,0.0,1967,97.49671072699542,0.05468734112862125,272.99999999999994
julho,1,persistence,high_flow,0.0,271,268.1771217712177,-12.619926199261997,580.0000000000001
julho,1,validation_blend,all,0.75,1967,81.80482674231314,0.49428790977724096,240.2425257970003
julho,1,validation_blend,high_flow,0.75,271,205.1443267147627,-27.39683015941689,372.4485840940863
julho,2,ridge_reference,all,1.0,1966,112.58509742011988,0.8834314062341448,274.5913158415694
julho,2,ridge_reference,high_flow,1.0,271,272.26070418556196,-47.591908273130954,413.8061800724522
julho,2,persistence,all,0.0,1966,138.80697863682605,0.052777212614445915,318.4999999999999
julho,2,persistence,high_flow,0.0,271,385.47232472324725,-22.64575645756457,821.9999999999997
julho,2,validation_blend,all,0.75,1966,112.27840762908586,0.6243626548269385,276.35285079820574
julho,2,validation_blend,high_flow,0.75,271,274.91167880333285,-41.35537031923935,522.9714134456724
julho,3,ridge_reference,all,1.0,1965,137.4355404298288,0.10826204036310705,293.7639553348943
julho,3,ridge_reference,high_flow,1.0,271,327.1096898861756,-69.41800965759751,503.930195517496
julho,3,persistence,all,0.0,1965,176.82724173027992,0.03786768447837108,346.00000000000006
julho,3,persistence,high_flow,0.0,271,502.83025830258305,-36.22509225092251,1049.0
julho,3,validation_blend,all,0.75,1965,138.05022710959753,0.037972667357610915,298.05586753064625
julho,3,validation_blend,high_flow,0.75,271,336.33175235955315,-61.11978030592879,591.9899225648333
julho,4,ridge_reference,all,1.0,1964,157.13028339741757,-1.3534284160327592,302.8101859990651
julho,4,ridge_reference,high_flow,1.0,271,371.3305699661136,-96.33018657736193,581.0472187539508
julho,4,persistence,all,0.0,1964,211.9726883910387,-0.0028004073319754445,386.6999999999999
julho,4,persistence,high_flow,0.0,271,618.7121771217712,-51.361623616236166,1322.0
julho,4,validation_blend,all,1.0,1964,157.13028339741757,-1.3534284160327592,302.8101859990651
julho,4,validation_blend,high_flow,1.0,271,371.3305699661136,-96.33018657736193,581.0472187539508
julho,5,ridge_reference,all,1.0,1963,174.26374657489214,-3.745332697259744,313.2951622065503
julho,5,ridge_reference,high_flow,1.0,271,417.1736217100644,-127.08265808532765,677.1222484108807
julho,5,persistence,all,0.0,1963,244.44984717269486,-0.09425878757004387,416.00000000000006
julho,5,persistence,high_flow,0.0,271,733.9630996309963,-69.43911439114392,1586.0000000000002
julho,5,validation_blend,all,1.0,1963,174.26374657489214,-3.745332697259744,313.2951622065503
julho,5,validation_blend,high_flow,1.0,271,417.1736217100644,-127.08265808532765,677.1222484108807
julho,6,ridge_reference,all,1.0,1962,189.36545227364064,-7.081513902982244,318.4865133693754
julho,6,ridge_reference,high_flow,1.0,271,459.587434411649,-158.8047786547275,828.6420168803232
julho,6,persistence,all,0.0,1962,274.2047043832824,-0.078618756371051,460.80000000000007
julho,6,persistence,high_flow,0.0,271,848.5867158671587,-88.96309963099631,1817.0000000000002
julho,6,validation_blend,all,0.75,1962,195.77859078234448,-5.359332420101111,330.3791872321245
julho,6,validation_blend,high_flow,0.75,271,499.80579406747484,-141.3443588987947,1059.0117604088798
julho,7,ridge_reference,all,1.0,1961,204.91709209019484,-10.649045829958288,333.3483510253945
julho,7,ridge_reference,high_flow,1.0,271,515.0257555348941,-188.6805832214149,917.1653741544148
julho,7,persistence,all,0.0,1961,300.6763437021928,-0.0009943906170334252,501.00000000000034
julho,7,persistence,high_flow,0.0,271,963.7675276752767,-107.35424354243543,2059.9999999999995
julho,7,validation_blend,all,0.75,1961,211.93403264415545,-8.034552952458457,343.6824439520024
julho,7,validation_blend,high_flow,0.75,271,564.8689603326935,-168.49896053649405,1134.28763332994
julho,8,ridge_reference,all,1.0,1960,217.52222879116616,-14.806456885318738,342.7395072706678
julho,8,ridge_reference,high_flow,1.0,271,563.6511925148726,-219.22150021677794,1051.004174200099
julho,8,persistence,all,0.0,1960,324.87192346938775,0.10682142857142758,545.2000000000002
julho,8,persistence,high_flow,0.0,271,1076.8376383763837,-127.23616236162361,2240.9999999999995
julho,8,validation_blend,all,0.75,1960,226.55519078926488,-11.275940231459465,355.2194811039096
julho,8,validation_blend,high_flow,0.75,271,631.4827534040942,-197.46823023684217,1271.3663115548616
julho,9,ridge_reference,all,1.0,1959,227.0794091187324,-19.03485476938394,353.3912639949295
julho,9,ridge_reference,high_flow,1.0,271,609.4159283509719,-251.82754349432628,1276.735687892665
julho,9,persistence,all,0.0,1959,345.81438489025015,0.23891781521184183,577.9999999999999
julho,9,persistence,high_flow,0.0,271,1187.3837638376383,-149.71586715867159,2591.0
julho,9,validation_blend,all,0.75,1959,238.1685215753581,-14.591855209282294,364.4573556953889
julho,9,validation_blend,high_flow,0.75,271,693.2230835155368,-228.80800680558724,1547.0517659194982
