source,lead_h,feature,contribution_m3_s,standardized_value
julho,0,julho:Q:1000m3s,-141.8366426817087,7.565720988672228
julho,0,julho:Q:delta1h,99.39010838842557,12.457361133753784
julho,0,julho:Q:slope3h,-13.032238711045482,6.932621814082308
julho,0,julho:Q:slope6h,-110.05947649601377,19.923804851885205
julho,0,julho:I:1000m3s,-43.137098143063895,8.922912145178097
julho,0,julho:I:delta1h,-98.79188639469524,13.010246268523455
julho,0,julho:I:slope3h,36.91390191281152,10.418632942757
julho,0,julho:I:slope6h,64.53906178870936,20.81121919406675
julho,0,monte:Q:1000m3s,14.584780630761076,9.901999971487733
julho,0,monte:Q:delta1h,7.961419680635629,8.586127407121385
julho,0,monte:Q:slope3h,26.571002613607547,10.70955011740037
julho,0,monte:Q:slope6h,72.99270062136188,13.744740511841927
julho,0,monte:I:1000m3s,15.935579281094874,9.918834104162562
julho,0,monte:I:delta1h,15.269865783050772,7.470760324091923
julho,0,monte:I:slope3h,-40.89051096687795,11.280512700190743
julho,0,monte:I:slope6h,-49.644577457151996,14.142969413369459
julho,0,castro:Q:1000m3s,83.79615424961875,13.695293735175941
julho,0,castro:Q:delta1h,298.3847256161347,52.46194800461085
julho,0,castro:Q:slope3h,346.1748123329208,32.84473227723712
julho,0,castro:Q:slope6h,331.0852008151955,34.31674449383052
julho,0,castro:I:1000m3s,236.0837154236182,17.96364882827807
julho,0,castro:I:delta1h,-226.7325979084584,66.90775182047423
julho,0,castro:I:slope3h,-107.89841264977939,45.501772266722625
julho,0,castro:I:slope6h,221.06827753182344,40.706315859260734
julho,0,86500000:Q:1000m3s,-4.432728470454998,6.29633025647515
julho,0,86500000:Q:delta1h,20.40826310631551,13.315028599416319
julho,0,86500000:Q:slope3h,-10.100767441490387,9.068172233130436
julho,0,86500000:Q:slope6h,-25.332146963346883,15.77640571447511
julho,0,Baixo Antas:P3/100mm,2.8720476113605358,2.0435188775380664
julho,0,Baixo Antas:P6/100mm,15.86627022628334,5.623090235041415
julho,0,Baixo Antas:P12/100mm,20.519116869314136,19.297559857574683
julho,0,Baixo Antas:P24/100mm,-20.28941431866338,11.569788257787444
julho,0,Baixo Antas:P48/100mm,-8.182466310098324,8.626600342583723
julho,0,Carreiro:P3/100mm,4.0671555497874765,2.4188582249844606
julho,0,Carreiro:P6/100mm,-6.709366068742547,7.58351337939898
julho,0,Carreiro:P12/100mm,18.442761780263403,8.70908198602903
julho,0,Carreiro:P24/100mm,1.6882129862905977,5.169830479250003
julho,0,Carreiro:P48/100mm,3.2856120348219764,4.282454606467185
julho,0,Prata-Turvo:P3/100mm,-11.335124023821216,8.12735414192526
julho,0,Prata-Turvo:P6/100mm,-13.135928543346738,12.88338991762462
julho,0,Prata-Turvo:P12/100mm,2.002937420630811,9.016324724621075
julho,0,Prata-Turvo:P24/100mm,18.828074080173106,5.433265180785217
julho,0,Prata-Turvo:P48/100mm,3.9223267047853243,4.427876387761997
julho,0,Alto Antas:P3/100mm,-0.5934606675543231,3.3877078438961243
julho,0,Alto Antas:P6/100mm,-0.6628906350703129,3.66369877360147
julho,0,Alto Antas:P12/100mm,-0.731915973719403,4.963120497926906
julho,0,Alto Antas:P24/100mm,2.46529256913218,2.4545205076352756
julho,0,Alto Antas:P48/100mm,-0.6894224882138045,1.501296448772287
julho,0,Tainhas:P3/100mm,-41.15222125038016,16.773364978612815
julho,0,Tainhas:P6/100mm,37.73296469044837,16.839405361996654
julho,0,Tainhas:P12/100mm,-16.491416039083568,22.933856824907707
julho,0,Tainhas:P24/100mm,26.54745104234222,13.792844933048103
julho,0,Tainhas:P48/100mm,-19.7285756240969,10.052977264919342
julho,0,missing:julho:Q:1000m3s,0.0,0.0
julho,0,missing:julho:Q:delta1h,-0.00013202885845712927,-0.008801439329046744
julho,0,missing:julho:Q:slope3h,-0.00016456460452311247,-0.015245721158282599
julho,0,missing:julho:Q:slope6h,-0.00045011302562215303,-0.02156321176620674
julho,0,missing:julho:I:1000m3s,0.0,0.0
julho,0,missing:julho:I:delta1h,-0.00013202885845713124,-0.008801439329046744
julho,0,missing:julho:I:slope3h,-0.00016456460452310767,-0.015245721158282599
julho,0,missing:julho:I:slope6h,-0.00045011302562214886,-0.02156321176620674
julho,0,missing:monte:Q:1000m3s,-0.00020772346789614643,-0.008801439329046909
julho,0,missing:monte:Q:delta1h,-0.0004940289795030233,-0.015245721158282198
julho,0,missing:monte:Q:slope3h,0.000344092376843648,-0.01968366647946675
julho,0,missing:monte:Q:slope6h,3.223973872720966e-05,-0.024900982020717766
julho,0,missing:monte:I:1000m3s,-0.00020772346789615497,-0.008801439329046909
julho,0,missing:monte:I:delta1h,-0.0004940289795030247,-0.015245721158282198
julho,0,missing:monte:I:slope3h,0.00034409237684364364,-0.01968366647946675
julho,0,missing:monte:I:slope6h,3.223973872720962e-05,-0.024900982020717766
julho,0,missing:castro:Q:1000m3s,0.0,0.0
