phase,horizon_h,profile,subset,rows,complete,partial_missing,all_six_missing,any_missing,any_missing_fraction,column_18_missing,column_19_missing,column_20_missing,column_21_missing,column_22_missing,column_23_missing
test,7,A,all,9281,9281,0,0,0,0.0,0,0,0,0,0,0
test,7,A,observed_ge_7m,189,189,0,0,0,0.0,0,0,0,0,0,0
test,7,B,all,9281,9281,0,0,0,0.0,0,0,0,0,0,0
test,7,B,observed_ge_7m,189,189,0,0,0,0.0,0,0,0,0,0,0
test,7,mixed,all,9281,9281,0,0,0,0.0,0,0,0,0,0,0
test,7,mixed,observed_ge_7m,189,189,0,0,0,0.0,0,0,0,0,0,0
validation,8,A,all,3519,3519,0,0,0,0.0,0,0,0,0,0,0
validation,8,A,observed_ge_7m,162,162,0,0,0,0.0,0,0,0,0,0,0
validation,8,B,all,3519,3519,0,0,0,0.0,0,0,0,0,0,0
validation,8,B,observed_ge_7m,162,162,0,0,0,0.0,0,0,0,0,0,0
validation,8,mixed,all,3519,3519,0,0,0,0.0,0,0,0,0,0,0
validation,8,mixed,observed_ge_7m,162,162,0,0,0,0.0,0,0,0,0,0,0
test,8,A,all,9278,9278,0,0,0,0.0,0,0,0,0,0,0
test,8,A,observed_ge_7m,190,190,0,0,0,0.0,0,0,0,0,0,0
test,8,B,all,9278,9278,0,0,0,0.0,0,0,0,0,0,0
test,8,B,observed_ge_7m,190,190,0,0,0,0.0,0,0,0,0,0,0
test,8,mixed,all,9278,9278,0,0,0,0.0,0,0,0,0,0,0
test,8,mixed,observed_ge_7m,190,190,0,0,0,0.0,0,0,0,0,0,0
validation,9,A,all,3517,3517,0,0,0,0.0,0,0,0,0,0,0
validation,9,A,observed_ge_7m,162,162,0,0,0,0.0,0,0,0,0,0,0
validation,9,B,all,3517,3517,0,0,0,0.0,0,0,0,0,0,0
validation,9,B,observed_ge_7m,162,162,0,0,0,0.0,0,0,0,0,0,0
validation,9,mixed,all,3517,3517,0,0,0,0.0,0,0,0,0,0,0
validation,9,mixed,observed_ge_7m,162,162,0,0,0,0.0,0,0,0,0,0,0
test,9,A,all,9277,9277,0,0,0,0.0,0,0,0,0,0,0
test,9,A,observed_ge_7m,190,190,0,0,0,0.0,0,0,0,0,0,0
test,9,B,all,9277,9277,0,0,0,0.0,0,0,0,0,0,0
test,9,B,observed_ge_7m,190,190,0,0,0,0.0,0,0,0,0,0,0
test,9,mixed,all,9277,9277,0,0,0,0.0,0,0,0,0,0,0
test,9,mixed,observed_ge_7m,190,190,0,0,0,0.0,0,0,0,0,0,0
validation,10,A,all,3516,3516,0,0,0,0.0,0,0,0,0,0,0
validation,10,A,observed_ge_7m,163,163,0,0,0,0.0,0,0,0,0,0,0
validation,10,B,all,3516,3516,0,0,0,0.0,0,0,0,0,0,0
validation,10,B,observed_ge_7m,163,163,0,0,0,0.0,0,0,0,0,0,0
validation,10,mixed,all,3516,3516,0,0,0,0.0,0,0,0,0,0,0
