phase,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
test,11,full_schedule,all,hourly_control,1957,23,1934,1916,18,1367,0.7134655532359081,0.7068252326783868,0.4690892383514233,-0.053082649120199665,2.470622522432133,7.154155835489432
test,11,full_schedule,all,hourly_plus2018,1957,23,1934,1916,18,1353,0.7061586638830898,0.6995863495346433,0.45982436277070066,-0.09968200224587294,2.2529373587311907,7.162860263084974
test,11,full_schedule,level_ge_7m,hourly_control,1957,23,237,236,1,80,0.3389830508474576,0.33755274261603374,1.3099543131639617,-0.35349447653962013,6.600707330903308,7.154155835489432
test,11,full_schedule,level_ge_7m,hourly_plus2018,1957,23,237,236,1,85,0.3601694915254237,0.35864978902953587,1.271887576421387,-0.45144265075235174,6.852982920281469,7.162860263084974
test,11,complete_upstream18,all,hourly_control,1353,5,1348,1347,1,992,0.7364513734224202,0.7359050445103857,0.4023331336264296,-0.046493089512728444,1.7271695640678906,3.2613418027195102
test,11,complete_upstream18,all,hourly_plus2018,1353,5,1348,1347,1,970,0.7201187824795843,0.7195845697329377,0.40447197194817075,-0.06830964451296305,1.6760549919153442,3.5906485043616545
test,11,complete_upstream18,level_ge_7m,hourly_control,1353,5,140,140,0,56,0.4,0.4,0.9015637865347391,-0.16095645618194795,2.921811465107698,3.2613418027195102
test,11,complete_upstream18,level_ge_7m,hourly_plus2018,1353,5,140,140,0,55,0.39285714285714285,0.39285714285714285,0.9073231155059456,-0.1912775813719965,3.0454019988440715,3.5906485043616545
test,11,missing_upstream18,all,hourly_control,604,18,586,569,17,375,0.6590509666080844,0.6399317406143344,0.6271217041942468,-0.06868218653894083,4.547560421795193,7.154155835489432
test,11,missing_upstream18,all,hourly_plus2018,604,18,586,569,17,383,0.6731107205623902,0.6535836177474402,0.5908606904296603,-0.17395013206349969,4.64877703323329,7.162860263084974
test,11,missing_upstream18,level_ge_7m,hourly_control,604,18,97,96,1,24,0.25,0.24742268041237114,1.9055238311649108,-0.6342790895612253,6.982649753795523,7.154155835489432
test,11,missing_upstream18,level_ge_7m,hourly_plus2018,604,18,97,96,1,30,0.3125,0.30927835051546393,1.8035440819230721,-0.8308500435987032,7.122844218192933,7.162860263084974
test,12,full_schedule,all,hourly_control,1956,23,1933,1914,19,1341,0.700626959247649,0.693740300051733,0.49192643675761727,-0.0719296710430504,2.4731220547360584,8.059887634382665
test,12,full_schedule,all,hourly_plus2018,1956,23,1933,1914,19,1345,0.7027168234064786,0.6958096223486808,0.47671018281823474,-0.1057379914999476,2.4572568365005143,7.174798746042622
test,12,full_schedule,level_ge_7m,hourly_control,1956,23,237,236,1,79,0.3347457627118644,0.3333333333333333,1.419848006023937,-0.4953273023556504,7.461755271683246,8.059887634382665
test,12,full_schedule,level_ge_7m,hourly_plus2018,1956,23,237,236,1,75,0.3177966101694915,0.31645569620253167,1.366877431108205,-0.49930275222101006,6.76936850616353,7.174798746042622
test,12,complete_upstream18,all,hourly_control,1352,5,1347,1346,1,971,0.7213967310549777,0.7208611729769859,0.421158445709733,-0.05041109973194592,1.8941310353086351,3.789866562982221
test,12,complete_upstream18,all,hourly_plus2018,1352,5,1347,1346,1,977,0.725854383358098,0.7253155159613957,0.41537204322014365,-0.07066144252679984,1.7320083213561117,3.7366226750652185
test,12,complete_upstream18,level_ge_7m,hourly_control,1352,5,140,140,0,57,0.40714285714285714,0.40714285714285714,0.954638869018541,-0.269292417213724,3.3109422659263816,3.789866562982221
test,12,complete_upstream18,level_ge_7m,hourly_plus2018,1352,5,140,140,0,50,0.35714285714285715,0.35714285714285715,0.9690021438103904,-0.21369698922213712,3.5049496109086635,3.7366226750652185
test,12,missing_upstream18,all,hourly_control,604,18,586,568,18,370,0.6514084507042254,0.6313993174061433,0.6596266408957376,-0.12292262348098457,5.479456236046496,8.059887634382665
test,12,missing_upstream18,all,hourly_plus2018,604,18,586,568,18,368,0.647887323943662,0.6279863481228669,0.6220642953165282,-0.1888595318482872,5.291683272379743,7.174798746042622
test,12,missing_upstream18,level_ge_7m,hourly_control,604,18,97,96,1,22,0.22916666666666666,0.2268041237113402,2.0982779974901393,-0.8249615098542931,7.810625324686454,8.059887634382665
test,12,missing_upstream18,level_ge_7m,hourly_plus2018,604,18,97,96,1,25,0.2604166666666667,0.25773195876288657,1.9471122250841848,-0.9158111565943665,7.124903592619103,7.174798746042622
validation,1,full_schedule,all,hourly_control,6551,34,6517,6485,32,6476,0.9986121819583654,0.9937087617001688,0.04061131280517209,0.00982035123294774,0.22840501263075572,0.8377492946785994
validation,1,full_schedule,all,hourly_plus2018,6551,34,6517,6485,32,6475,0.9984579799537394,0.9935553168635876,0.03587835259632245,0.003021251320791525,0.1914182037371632,0.8833202854291589
validation,1,full_schedule,level_ge_7m,hourly_control,6551,34,28,28,0,27,0.9642857142857143,0.9642857142857143,0.11175831395564192,0.030567589701569014,0.4173924200906329,0.5495482370290699
validation,1,full_schedule,level_ge_7m,hourly_plus2018,6551,34,28,28,0,28,1.0,1.0,0.10785300605884565,0.02251621310899754,0.3738429761272824,0.4987287585302056
validation,1,complete_upstream18,all,hourly_control,6052,23,6029,6012,17,6005,0.9988356620093147,0.9960192403383645,0.03223666316086127,0.0018927748932285324,0.16999060821244713,0.8377492946785994
