phase,family,horizon_h,scheduled,applied,missing_base,finite_predictions_with_unknown_truth,exact,max_abs_difference_m
validation,hourly_control,1,6551,6517,34,32,True,0
validation,hourly_plus2018,1,6551,6517,34,32,True,0
test,hourly_control,1,1967,1944,23,6,True,0
test,hourly_plus2018,1,1967,1944,23,6,True,0
validation,hourly_control,2,6550,6516,34,33,True,0
validation,hourly_plus2018,2,6550,6516,34,33,True,0
test,hourly_control,2,1966,1943,23,8,True,0
test,hourly_plus2018,2,1966,1943,23,8,True,0
validation,hourly_control,3,6549,6515,34,34,True,0
validation,hourly_plus2018,3,6549,6515,34,34,True,0
test,hourly_control,3,1965,1942,23,10,True,0
test,hourly_plus2018,3,1965,1942,23,10,True,0
validation,hourly_control,4,6548,6514,34,34,True,0
validation,hourly_plus2018,4,6548,6514,34,34,True,0
test,hourly_control,4,1964,1941,23,11,True,0
test,hourly_plus2018,4,1964,1941,23,11,True,0
validation,hourly_control,5,6547,6513,34,34,True,0
validation,hourly_plus2018,5,6547,6513,34,34,True,0
test,hourly_control,5,1963,1940,23,12,True,0
test,hourly_plus2018,5,1963,1940,23,12,True,0
validation,hourly_control,6,6546,6512,34,34,True,0
validation,hourly_plus2018,6,6546,6512,34,34,True,0
test,hourly_control,6,1962,1939,23,13,True,0
test,hourly_plus2018,6,1962,1939,23,13,True,0
validation,hourly_control,7,6545,6511,34,33,True,0
validation,hourly_plus2018,7,6545,6511,34,33,True,0
test,hourly_control,7,1961,1938,23,14,True,0
test,hourly_plus2018,7,1961,1938,23,14,True,0
validation,hourly_control,8,6544,6510,34,34,True,0
validation,hourly_plus2018,8,6544,6510,34,34,True,0
test,hourly_control,8,1960,1937,23,15,True,0
test,hourly_plus2018,8,1960,1937,23,15,True,0
validation,hourly_control,9,6543,6509,34,34,True,0
validation,hourly_plus2018,9,6543,6509,34,34,True,0
test,hourly_control,9,1959,1936,23,16,True,0
test,hourly_plus2018,9,1959,1936,23,16,True,0
validation,hourly_control,10,6542,6508,34,34,True,0
validation,hourly_plus2018,10,6542,6508,34,34,True,0
test,hourly_control,10,1958,1935,23,17,True,0
test,hourly_plus2018,10,1958,1935,23,17,True,0
validation,hourly_control,11,6541,6507,34,34,True,0
validation,hourly_plus2018,11,6541,6507,34,34,True,0
test,hourly_control,11,1957,1934,23,18,True,0
test,hourly_plus2018,11,1957,1934,23,18,True,0
validation,hourly_control,12,6540,6506,34,34,True,0
validation,hourly_plus2018,12,6540,6506,34,34,True,0
test,hourly_control,12,1956,1933,23,19,True,0
test,hourly_plus2018,12,1956,1933,23,19,True,0
