phase,family,horizon_h,n,recent_n,added_n,weight_sum,input119_sha256,response_sha256,weight_sha256,first_origin,last_origin,latest_target
test,hourly_plus2018,4,11151,10837,314,12497,c0a74199945e55eb9d08ecd42c088e9d52f5b12337898bb484cb82a6f96b3b7a,3b5fc7a9194f77d49a22a3fb6791d79c0d620fafd290a6a661009df999ff91b5,3d7dcb6fa399b0d7a2e11132abccf8938d0c98eb7dbcd5762811990a7732ded4,2018-08-30T00:00:00-03:00,2026-06-30T19:00:00-03:00,2026-06-30T23:00:00-03:00
validation,hourly_control,5,4356,4356,0,5288,79ed528b8aa9cff9475cc227ba9a4a0c97745ce5c8d5042fd9289a792a280806,5ec4d8df29f306b46d6f97041878f7b63d841ff3b0b84e2ce9af9c3780ce5efa,625a860754370911c4e8b02bb6af6fbedfd75789650a34cee9576a46f8f201fb,2025-04-01T09:00:00-03:00,2025-09-30T18:00:00-03:00,2025-09-30T23:00:00-03:00
validation,hourly_plus2018,5,4668,4356,312,5744,42f9636ed9410b109037897fd0936a36dbddd8cea65556259a96f25dd1e63827,e99c21f064ec475b6341ebd385280b4a5fe45fb11e94ce6b4654f0fe5981ba1c,bb199de6394e3b4db5c0ea5f6b5fd268c409bbf644450e4e986e2828ee2496f1,2018-08-30T00:00:00-03:00,2025-09-30T18:00:00-03:00,2025-09-30T23:00:00-03:00
test,hourly_control,5,10835,10835,0,12457,b82bda106c0f39203b5d08fcde307cd88bfee314513197c82a063e3080867d16,36e5cc1d12a105f953484f5d39553ab40a3cface1fc28f7d5e3d2de99bbcc539,d2d641bd3f7a8fc30ac0e4c00fd7ee3e63e9b4b568810756d16bc3478dc81ba2,2025-04-01T09:00:00-03:00,2026-06-30T18:00:00-03:00,2026-06-30T23:00:00-03:00
test,hourly_plus2018,5,11147,10835,312,12913,ca2a42a4473e689ce4e67902bed1ca75e76ce3b1c0179e582d14d9d7aa823108,080a2b68b24098b055b367213ae845057a5e9bafaa1f8085a610181aab2cde63,2c14a3a189ec262dd5c3b0a62d53d7b72400a4244fe2f5c9998c78e4de055c23,2018-08-30T00:00:00-03:00,2026-06-30T18:00:00-03:00,2026-06-30T23:00:00-03:00
validation,hourly_control,6,4355,4355,0,5443,c70914643da9a22fc940dfa846df26525add00d78676113013005f87ff5e9b78,f470745394d36a7530339b67bef7ef809968244408a27604228a1353f431cfdf,e7096aab6a92dd8a59321769fd4cc4c803614b20bf9211de1b90a8747a05c8d1,2025-04-01T09:00:00-03:00,2025-09-30T17:00:00-03:00,2025-09-30T23:00:00-03:00
validation,hourly_plus2018,6,4665,4355,310,5909,2021435cc55b2867e7ef999884bf5ae494f193ff54b86c1ed4584ee5a9eb9ce3,ff234c7acd33113c975ff499da06545fd392c27d3da2c6a1ec84e79f2780777d,a00423b230e62ba83d1ffd5ac00145736c7bd30e3d996ec631944a3d51a52bc5,2018-08-30T00:00:00-03:00,2025-09-30T17:00:00-03:00,2025-09-30T23:00:00-03:00
test,hourly_control,6,10833,10833,0,12797,2432a7e6b08dd163117b6273e305452f4f42981f0b4f0ec33aba96c408a9de5c,fd91634bb1e5e357a403846c7a965c26d47c978aaafd6ec0e737176205465db7,5e392d1d45be48d20ed63cc5bf1b7fe20a24df79f6066def854f260deda4c1eb,2025-04-01T09:00:00-03:00,2026-06-30T17:00:00-03:00,2026-06-30T23:00:00-03:00
test,hourly_plus2018,6,11143,10833,310,13263,36dc7173eda09f10ab94c650283e99d805ba9ba2ec4a06abe0cefb5cffa90c95,247a675508c499d51b1f29572a9d47e2d538b89662f9aa22187827508b409742,ef1fa54aac107594051be1f4f145e9f24250cc2aa386e2e1602d49f7f81baad8,2018-08-30T00:00:00-03:00,2026-06-30T17:00:00-03:00,2026-06-30T23:00:00-03:00
validation,hourly_control,7,4354,4354,0,5572,8818ef82a8258b134e83b6815fd251476c40b5c9dfe42c36a3b7cc08524c6912,45870da170c58fe2e2556727cba6051e3bace96ce73b8138532b7e974070c91a,b36e88a142445eaea52905eb82168e02b7022cd430bdd456aab410f4c8897c9d,2025-04-01T09:00:00-03:00,2025-09-30T16:00:00-03:00,2025-09-30T23:00:00-03:00
