phase,horizon_h,original_n,added_n,n,features,original_targets_ge_7m,added_targets_ge_7m,original_response_min_m,original_response_max_m,added_response_min_m,added_response_max_m,combined_response_min_m,combined_response_max_m,earliest_added_origin,latest_added_target,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,1,4362,447,4809,120,227,189,-0.41000000000000014,1.1800000000000006,-0.6300000000000026,1.7199999999999989,-0.6300000000000026,1.7199999999999989,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,1,10841,447,11288,120,255,189,-0.4800000000000004,1.2400000000000002,-0.6300000000000026,1.7199999999999989,-0.6300000000000026,1.7199999999999989,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,2,4360,445,4805,120,227,187,-0.7199999999999989,2.09,-1.110000000000003,3.0,-1.110000000000003,3.0,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,2,10837,445,11282,120,255,187,-0.8500000000000005,2.09,-1.110000000000003,3.0,-1.110000000000003,3.0,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,3,4358,443,4801,120,227,185,-0.9799999999999995,3.0200000000000005,-1.5899999999999999,4.210000000000001,-1.5899999999999999,4.210000000000001,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,3,10834,443,11277,120,255,185,-1.1000000000000005,3.0200000000000005,-1.5899999999999999,4.210000000000001,-1.5899999999999999,4.210000000000001,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,4,4356,441,4797,120,227,183,-1.2100000000000009,3.8600000000000003,-2.080000000000002,5.380000000000001,-2.080000000000002,5.380000000000001,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,4,10830,441,11271,120,255,183,-1.3499999999999996,3.8600000000000003,-2.080000000000002,5.380000000000001,-2.080000000000002,5.380000000000001,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,5,4355,439,4794,120,227,181,-1.4800000000000004,4.6899999999999995,-2.5600000000000023,6.529999999999999,-2.5600000000000023,6.529999999999999,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,5,10828,439,11267,120,255,181,-1.5199999999999996,4.6899999999999995,-2.5600000000000023,6.529999999999999,-2.5600000000000023,6.529999999999999,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,6,4354,437,4791,120,227,179,-1.7400000000000002,5.41,-3.039999999999999,7.6,-3.039999999999999,7.6,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,6,10826,437,11263,120,255,179,-1.7400000000000002,5.41,-3.039999999999999,7.6,-3.039999999999999,7.6,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,7,4353,435,4788,120,227,177,-2.0,6.09,-3.4499999999999993,8.499999999999998,-3.4499999999999993,8.499999999999998,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,7,10824,435,11259,120,255,177,-2.0,6.09,-3.4499999999999993,8.499999999999998,-3.4499999999999993,8.499999999999998,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,8,4352,433,4785,120,227,175,-2.26,6.73,-3.889999999999999,9.25,-3.889999999999999,9.25,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,8,10822,433,11255,120,255,175,-2.26,6.73,-3.889999999999999,9.25,-3.889999999999999,9.25,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,9,4351,431,4782,120,227,173,-2.5299999999999994,7.119999999999999,-4.3199999999999985,9.990000000000002,-4.3199999999999985,9.990000000000002,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,9,10821,431,11252,120,255,173,-2.5299999999999994,7.119999999999999,-4.3199999999999985,9.990000000000002,-4.3199999999999985,9.990000000000002,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,10,4350,429,4779,120,227,171,-2.789999999999999,7.469999999999999,-4.749999999999998,10.740000000000002,-4.749999999999998,10.740000000000002,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,10,10818,429,11247,120,255,171,-2.789999999999999,7.469999999999999,-4.749999999999998,10.740000000000002,-4.749999999999998,10.740000000000002,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,11,4349,427,4776,120,227,169,-3.0199999999999996,7.789999999999999,-5.159999999999998,11.25,-5.159999999999998,11.25,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,11,10817,427,11244,120,255,169,-3.0199999999999996,7.789999999999999,-5.159999999999998,11.25,-5.159999999999998,11.25,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,12,4348,426,4774,120,227,167,-3.26,8.09,-5.579999999999998,11.530000000000001,-5.579999999999998,11.530000000000001,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,12,10814,426,11240,120,255,167,-3.26,8.09,-5.579999999999998,11.530000000000001,-5.579999999999998,11.530000000000001,2020-07-01T00:00:00-03:00,2020-07-20T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
